date,spot_close,spot_volume,perp_volume,oi_usd
2024-05-29,67652.42,1573095221.6483984,158286.2738792238,5161535871.853311
2024-05-30,68352.17,1945001081.521587,194568.2277452197,5080596396.42558
2024-05-31,67540.01,1812659052.2496767,195813.25193443167,5172542123.078328
2024-06-01,67766.85,598305207.9932046,50959.06944649395,5118637173.300555
2024-06-02,67765.63,1046827665.3829314,102226.8378868517,5161176204.505475
2024-06-03,68809.9,2047757076.226836,227745.4100854864,5409234431.602572
2024-06-04,70537.84,2069902136.99324,216167.93641898545,5730820313.321456
2024-06-05,71108.0,2040073765.8676395,204056.0488385031,5867377663.622518
2024-06-06,70799.06,1551467659.1542966,158401.58310962268,5804177336.57201
2024-06-07,69355.6,2507250591.3329782,288902.1436594347,5716532751.618604
2024-06-08,69310.46,678267390.5310388,65760.5190930138,5790993584.007805
2024-06-09,69648.14,687344656.0725566,68045.20694672843,5824547016.185967
2024-06-10,69540.0,1192466549.9691226,127421.62914310404,5954198745.543042
2024-06-11,67314.24,2793799020.4691243,311992.13158205955,5567448457.268651
2024-06-12,68263.99,2550285139.184372,330021.9575912062,5544277115.704936
2024-06-13,66773.01,1958897960.917292,248433.49132400544,5487680551.379026
2024-06-14,66043.99,1884451554.428285,238136.6290282756,5249807883.682555
2024-06-15,66228.25,758175888.0283372,72446.42281797918,5332127576.461573
2024-06-16,66676.87,624653672.6138575,80386.80170167699,5392675750.543456
2024-06-17,66504.33,1812061226.7565656,248413.0779100673,5299040991.31543
2024-06-18,65175.32,2755141806.0310903,335662.8619751867,5068957136.113079
2024-06-19,64974.37,1307731953.9545317,150095.7814093026,4900100016.777247
2024-06-20,64869.99,1584896152.1663702,220943.33385887783,4824956966.103931
2024-06-21,64143.56,1665541539.708616,210174.6013005214,4922051000.78726
2024-06-22,64262.01,470027247.3402083,52936.40773031885,5014399973.148056
2024-06-23,63210.01,526848525.0029452,72074.94109765286,4904685477.39739
2024-06-24,60293.3,3180853460.924751,442941.9462884813,4553366483.090572
2024-06-25,61806.01,1914901308.84587,264691.25154636084,4670878240.271532
2024-06-26,60864.99,1381716993.355492,170654.78809232434,4558407106.496017
2024-06-27,61706.47,1126705164.782892,160222.55426258253,4621794385.414994
2024-06-28,60427.84,1519872032.026636,195569.57337011443,4746522293.804597
2024-06-29,60986.68,701345872.4881144,79705.33258264228,4912711223.584075
2024-06-30,62772.01,1070250012.5446604,147824.36172447118,5379111755.817064
2024-07-01,62899.99,1550980813.6701343,193996.8372131121,5148976025.955688
2024-07-02,62135.47,1160792332.6175597,163156.54412835208,5249365469.458579
2024-07-03,60208.58,1945901232.9066567,295393.8123553495,5301431089.342742
2024-07-04,57050.01,3168619756.2436485,445674.3458141369,5053068930.604487
2024-07-05,56628.79,4515040083.536515,577373.0138118445,4706231481.462159
2024-07-06,58230.13,1235398733.4357028,178635.9587929017,4668960528.662122
2024-07-07,55857.81,1094135752.452869,210428.0899471815,4539805209.833175
2024-07-08,56714.62,2699942701.375511,464251.759876605,4471001140.636032
2024-07-09,58050.0,1592351321.655387,256415.5933171894,4769481061.372317
2024-07-10,57725.85,1452293495.6501489,254329.21277205227,4772211917.264966
2024-07-11,57339.89,1728929618.0583844,292315.1460319324,4878636357.078155
2024-07-12,57889.1,1360201319.0761504,238142.15276384624,4821357934.04451
2024-07-13,59204.02,900429281.1482327,157933.94517679283,5058187837.230784
2024-07-14,60797.91,1273562988.611176,208126.2667094929,5164854591.850794
2024-07-15,64724.14,2435540879.028933,352332.7296825948,5514676617.565941
2024-07-16,65043.99,2725231969.2884507,375322.4601041042,5408265559.861439
2024-07-17,64087.99,1922412273.088209,276742.18497491785,5086718741.273571
2024-07-18,63987.92,1449872437.6497972,215595.1174380585,5028031465.396809
2024-07-19,66660.0,2331517674.368659,311478.3541521193,5616715923.411639
2024-07-20,67139.96,961878801.8482212,123592.64606859426,5557877780.271668
2024-07-21,68165.34,1465757867.9747434,207293.50405372147,5497233283.370753
2024-07-22,67532.01,1448418369.8467095,193051.99334118827,5461474252.651505
2024-07-23,65936.01,2088544473.323508,270515.2664640589,5424989536.369931
2024-07-24,65376.0,1526490826.466997,215147.01764415807,5299013487.206281
2024-07-25,65799.95,2266419771.224864,319785.89639931504,5482390138.755586
2024-07-26,67907.99,1630839588.6966548,235442.84963714,5748125612.030105
2024-07-27,67896.5,2162335067.023417,331086.6621236111,5844701313.565372
2024-07-28,68249.88,736755676.1377451,116950.681149282,5859031466.172074
2024-07-29,66784.69,2499265962.091455,372654.733898939,5666527528.583653
2024-07-30,66188.0,1533270724.799421,246628.5352029999,5492549391.55212
2024-07-31,64628.0,1489443332.5960116,246465.28991098763,5336664306.878586
2024-08-01,65354.02,2270877792.65868,372767.8204309642,5698451665.412297
2024-08-02,61498.33,2469588785.6981573,421760.40300316096,5399705075.1897
2024-08-03,60697.99,1711555901.18011,290561.2509544243,5176991059.825484
2024-08-04,58161.0,1874490041.5437355,339605.31770305947,5124231083.2842045
2024-08-05,54018.81,8580928177.429901,1267798.0287995674,4063034779.6696057
2024-08-06,56022.01,3119018848.329888,436089.90236190334,4304065539.507251
